query,sample_percentage,vcf2db,cutevariant,VCFdbR-table,VCFdbR-file,vcf-miner
Q1,100,0.116464,0.013024,71.565254,15.309148,58.191074
Q1,50,0.119502,0.015741,72.121578,15.860683,31.488866
Q1,10,0.113056,0.015501,25.961708,14.621503,12.769736
Q1,1,0.124340,0.015261,14.069535,14.294958,9.440997
Q2,100,0.191815,654.162981,17.543342,14.202261,1160.894801
Q2,50,0.214966,488.046669,17.383122,14.160736,818.961698
Q2,10,0.223304,108.486229,16.291266,13.961935,557.841947
Q2,1,0.215657,30.406740,14.615720,13.987516,516.329750
Q3,100,20.245915,168.877041,125.297715,30.588233,608.662019
Q3,50,21.486360,119.236362,115.840369,30.854842,397.308049
Q3,10,21.775773,31.049048,42.144235,30.130573,189.825584
Q3,1,21.195503,9.690487,30.712961,30.251448,136.180974
Q4,100,8.501740,2.070868,73.377800,27.798483,11.409327
Q4,50,4.249152,1.123272,73.087220,26.416235,6.307110
Q4,10,1.983052,0.309665,26.216143,24.679512,2.592658
Q4,1,0.268914,0.077754,14.093547,22.997799,1.915378
Q5,100,45.170770,73.175306,91.191166,28.160424,717.440900
Q5,50,44.596611,72.233477,91.455482,28.828291,416.872244
Q5,10,45.410217,75.091293,39.787937,27.900016,209.039702
Q5,1,46.044738,70.765378,25.846171,25.354729,174.236868
Q6,100,316.387384,740.903544,136.938130,66.226053,
Q6,50,316.607777,554.703093,122.542243,66.340877,
Q6,10,310.915579,153.708129,74.455700,65.958553,
Q6,1,310.171974,63.497793,66.626949,66.340877,
Q7,100,124.751480,71.847288,146.569562,62.067940,726.425283
Q7,50,122.749262,73.273420,117.309333,61.450773,420.573908
Q7,10,129.854570,74.157553,74.435441,61.131104,208.039038
Q7,1,138.019035,70.885707,68.570766,61.135403,171.061242
