query,sample_percentage,vcf2db,cutevariant,VCFdbR-table,VCFdbR-file,vcf-miner
Q1,100,0.049701,0.004224,2.010185,2.516205,14.464749
Q1,50,0.048927,0.005570,2.184824,2.344263,9.936628
Q1,10,0.059044,0.005175,2.222697,2.194048,4.916194
Q1,1,0.060663,0.006201,1.934803,2.329394,3.876050
Q2,100,0.096831,11.050308,0.459901,0.397994,545.243483
Q2,50,0.105855,11.521174,0.396898,0.389777,504.237864
Q2,10,0.110412,11.600005,0.356800,0.387980,437.650437
Q2,1,0.112262,12.771449,0.457545,0.380029,430.873656
Q3,100,8.975502,7.082344,22.080731,21.472316,574.776941
Q3,50,9.390010,7.710807,22.140755,21.369186,393.772676
Q3,10,8.719550,7.051543,21.376380,22.176432,227.866932
Q3,1,9.063338,7.217637,21.709985,21.428558,185.410851
Q4,100,7.889095,1.943529,3.647452,11.895205,3.051471
Q4,50,3.962395,1.065253,2.795840,10.133689,2.077998
Q4,10,1.005667,0.225227,2.084422,8.034344,1.169267
Q4,1,0.173233,0.033235,2.089642,7.649860,0.955822
Q5,100,43.827933,6.609466,13.450683,13.936942,168.720753
Q5,50,43.316519,6.570505,13.414863,13.947922,113.224315
Q5,10,44.434466,6.360894,13.557559,13.870724,132.835477
Q5,1,45.028269,6.481698,13.685807,13.856441,98.688101
Q6,100,210.954880,49.752763,57.030224,57.643691,
Q6,50,236.920268,49.971243,57.062969,56.959718,
Q6,10,242.069219,50.869278,56.973222,57.304290,
Q6,1,248.430153,49.537062,57.267184,56.959718,
Q7,100,120.423768,4.990202,54.111866,55.084139,170.283623
Q7,50,119.770317,4.870815,57.479731,54.146609,130.323819
Q7,10,122.115286,4.809252,57.948022,54.343620,106.355637
Q7,1,123.077703,4.815137,56.838787,54.330603,110.529158
