solution,sample_percentage,ingestion,indexing
vcf2db,100,194668.2,23057.1
vcf2db,50,121801.5,11872.6
vcf2db,10,10955.2,2414.7
vcf2db,1,5397.5,373.5
cutevariant,100,221261.7,24629.4
cutevariant,50,111065.5,12141.3
cutevariant,10,23739.8,1973.2
cutevariant,1,7498.0,171.7
VCFdbR-table,100,88946.1,5093.0
VCFdbR-table,50,71509.0,3827.1
VCFdbR-table,10,56630.5,990.4
VCFdbR-table,1,53732.0,629.0
VCFdbR-file,100,92437.3,702.7
VCFdbR-file,50,75400.0,736.8
VCFdbR-file,10,61345.3,719.3
VCFdbR-file,1,58928.0,712.76
vcf-miner,100,85022.2,10860.0
vcf-miner,50,61615.2,6045.0
vcf-miner,10,35911.9,2193.0
vcf-miner,1,30647.6,1536.0
