solution,cache,timing
vcf2db,cold,125.465003125
vcf2db,cold,123.655297738
vcf2db,cold,125.134138064
vcf2db,warm,119.278576069
vcf2db,warm,121.629878402
vcf2db,warm,120.362848669
cutevariant,cold,69.712238781
cutevariant,cold,71.230529461
cutevariant,cold,74.599096450
cutevariant,warm,4.885013873
cutevariant,warm,5.024606905
cutevariant,warm,5.060984657
VCFdbR-table,cold,150.903047250
VCFdbR-table,cold,144.040313988
VCFdbR-table,cold,144.765324278
VCFdbR-table,warm,54.192730652
VCFdbR-table,warm,54.115739714
VCFdbR-table,warm,54.027127756
VCFdbR-file,cold,61.726791098
VCFdbR-file,cold,62.900779389
VCFdbR-file,cold,61.576248147
VCFdbR-file,warm,55.209436589
VCFdbR-file,warm,55.176468539
VCFdbR-file,warm,54.866512845
vcf-miner,cold,728.378653923
vcf-miner,cold,720.601142083
vcf-miner,cold,730.296051956
vcf-miner,warm,173.838248818
vcf-miner,warm,175.145239424
vcf-miner,warm,161.867379938
