solution,sample_percentage,cache,timing
vcf2db,100,cold,125.465003125
vcf2db,100,cold,123.655297738
vcf2db,100,cold,125.134138064
vcf2db,100,warm,119.278576069
vcf2db,100,warm,121.629878402
vcf2db,100,warm,120.362848669
vcf2db,50,cold,123.999165831
vcf2db,50,cold,121.964130892
vcf2db,50,cold,122.284488938
vcf2db,50,warm,119.632814268
vcf2db,50,warm,120.207525925
vcf2db,50,warm,119.470610778
vcf2db,10,cold,129.040526581
vcf2db,10,cold,131.288063490
vcf2db,10,cold,129.235120281
vcf2db,10,warm,122.442492026
vcf2db,10,warm,121.628387165
vcf2db,10,warm,122.274980074
vcf2db,1,cold,135.620404506
vcf2db,1,cold,138.465053343
vcf2db,1,cold,139.971646466
vcf2db,1,warm,123.680463567
vcf2db,1,warm,122.213497711
vcf2db,1,warm,123.339147658
cutevariant,100,cold,69.712238781
cutevariant,100,cold,71.230529461
cutevariant,100,cold,74.599096450
cutevariant,100,warm,4.885013873
cutevariant,100,warm,5.024606905
cutevariant,100,warm,5.060984657
cutevariant,50,cold,71.371985871
cutevariant,50,cold,71.832668186
cutevariant,50,cold,76.615607102
cutevariant,50,warm,4.976650053
cutevariant,50,warm,4.829035249
cutevariant,50,warm,4.806759084
cutevariant,10,cold,74.346692186
cutevariant,10,cold,74.105724161
cutevariant,10,cold,74.020241664
cutevariant,10,warm,4.734239979
cutevariant,10,warm,4.976477903
cutevariant,10,warm,4.717038263
cutevariant,1,cold,69.505717466
cutevariant,1,cold,71.003055739
cutevariant,1,cold,72.148348004
cutevariant,1,warm,4.866190075
cutevariant,1,warm,4.676628126
cutevariant,1,warm,4.902593588
VCFdbR-table,100,cold,150.903047250
VCFdbR-table,100,cold,144.040313988
VCFdbR-table,100,cold,144.765324278
VCFdbR-table,100,warm,54.192730652
VCFdbR-table,100,warm,54.115739714
VCFdbR-table,100,warm,54.027127756
VCFdbR-table,50,cold,118.450541097
VCFdbR-table,50,cold,116.401255860
VCFdbR-table,50,cold,117.076202386
VCFdbR-table,50,warm,57.014896643
VCFdbR-table,50,warm,57.828254379
VCFdbR-table,50,warm,57.596042484
VCFdbR-table,10,cold,75.715908413
VCFdbR-table,10,cold,73.696745627
VCFdbR-table,10,cold,73.893669482
VCFdbR-table,10,warm,58.636761701
VCFdbR-table,10,warm,57.745499796
VCFdbR-table,10,warm,57.461803781
VCFdbR-table,1,cold,69.694824433
VCFdbR-table,1,cold,69.779958243
VCFdbR-table,1,cold,66.237514026
VCFdbR-table,1,warm,56.863996198
VCFdbR-table,1,warm,56.794395059
VCFdbR-table,1,warm,56.857970651
VCFdbR-file,100,cold,61.726791098
VCFdbR-file,100,cold,62.900779389
VCFdbR-file,100,cold,61.576248147
VCFdbR-file,100,warm,55.209436589
VCFdbR-file,100,warm,55.176468539
VCFdbR-file,100,warm,54.866512845
VCFdbR-file,50,cold,61.297714210
VCFdbR-file,50,cold,61.405707128
VCFdbR-file,50,cold,61.648897545
VCFdbR-file,50,warm,54.112579900
VCFdbR-file,50,warm,54.066254130
VCFdbR-file,50,warm,54.260993952
VCFdbR-file,10,cold,61.481166370
VCFdbR-file,10,cold,60.956336265
VCFdbR-file,10,cold,60.955810383
VCFdbR-file,10,warm,54.627729491
VCFdbR-file,10,warm,54.327087379
VCFdbR-file,10,warm,54.076044484
VCFdbR-file,1,cold,61.896905737
VCFdbR-file,1,cold,60.561444615
VCFdbR-file,1,cold,60.947859177
VCFdbR-file,1,warm,54.228326833
VCFdbR-file,1,warm,54.483110794
VCFdbR-file,1,warm,54.280370912
vcf-miner,100,cold,728.378653923
vcf-miner,100,cold,720.601142083
vcf-miner,100,cold,730.296051956
vcf-miner,100,warm,173.838248818
vcf-miner,100,warm,175.145239424
vcf-miner,100,warm,161.867379938
vcf-miner,50,cold,420.956081620
vcf-miner,50,cold,422.408476519
vcf-miner,50,cold,418.357167137
vcf-miner,50,warm,151.523361002
vcf-miner,50,warm,126.209283009
vcf-miner,50,warm,113.238812918
vcf-miner,10,cold,208.907650545
vcf-miner,10,cold,208.500553671
vcf-miner,10,cold,206.708910152
vcf-miner,10,warm,110.206306368
vcf-miner,10,warm,105.457251722
vcf-miner,10,warm,103.403353265
vcf-miner,1,cold,171.017562115
vcf-miner,1,cold,171.928534318
vcf-miner,1,cold,170.237629126
vcf-miner,1,warm,101.784163501
vcf-miner,1,warm,127.077920932
vcf-miner,1,warm,102.725389664
